index,Date,Symbol,Open,High,Low,Close,Volume From,Volume To
355,2018-01-17 05-AM,BTCUSD,10922.41,11055.32,10590,10934.36,343.8,3713031.64
354,2018-01-17 06-AM,BTCUSD,10934.36,11265.25,10885,10932,340.77,3777445.72
353,2018-01-17 07-AM,BTCUSD,10932,11109.32,10798.96,10870,250.47,2741653.42
352,2018-01-17 08-AM,BTCUSD,10870,10910.62,10354.8,10650.13,414.76,4400458
351,2018-01-17 09-AM,BTCUSD,10650.13,10672.78,10100,10301.19,467.66,4824256.37
350,2018-01-17 10-AM,BTCUSD,10301.19,10308.5,9787.76,9787.76,933.7,9360770.99
349,2018-01-17 11-AM,BTCUSD,9787.76,10399,9693.03,9960,755.16,7539610.98
348,2018-01-17 12-PM,BTCUSD,9960,10466.41,9760,10135,594.78,6036338.11
347,2018-01-17 01-PM,BTCUSD,10135,10293.75,9808.88,9808.88,472.35,4736034.27
346,2018-01-17 02-PM,BTCUSD,9808.88,9967.88,9300,9333.95,1213.02,11609725.7
345,2018-01-17 03-PM,BTCUSD,9333.95,9754.51,9150.29,9507,1315.97,12438884.91
344,2018-01-17 04-PM,BTCUSD,9507,10351.51,9477.58,10350,888.76,8797051.55
343,2018-01-17 05-PM,BTCUSD,10350,10400,9800,10051.5,813.06,8216287.48
342,2018-01-17 06-PM,BTCUSD,10051.5,10083.19,9730,9750.86,224.58,2221677.52
341,2018-01-17 07-PM,BTCUSD,9750.86,10658.09,9621.51,10470,367.77,3760273.19
340,2018-01-17 08-PM,BTCUSD,10470,11800,10350,11023.9,963.4,10419088.88
339,2018-01-17 09-PM,BTCUSD,11023.9,11750,10565,11725.98,642.29,7130273.48
338,2018-01-17 10-PM,BTCUSD,11725.98,11793.08,10811.17,10959.36,1655.31,18718592.92
337,2018-01-17 11-PM,BTCUSD,10959.36,11215.94,10642.1,11036.12,733.88,8024970.02
336,2018-01-18 12-AM,BTCUSD,11036.12,11228.45,10745,11228.45,541.75,5930309.26
335,2018-01-18 01-AM,BTCUSD,11228.45,11567.1,11112.65,11418.26,555.83,6303842.87
334,2018-01-18 02-AM,BTCUSD,11418.26,11681.63,11314.03,11647.41,697.09,8029510.01
333,2018-01-18 03-AM,BTCUSD,11647.41,11691.52,11110,11206.81,516.04,5890490.74
332,2018-01-18 04-AM,BTCUSD,11206.81,11457.73,10845,10924.7,450.15,5002918.54
331,2018-01-18 05-AM,BTCUSD,10924.7,11080.96,10733.24,10900,507.25,5510190.25
330,2018-01-18 06-AM,BTCUSD,10900,11238.04,10893.71,11129,303.79,3367626.15
329,2018-01-18 07-AM,BTCUSD,11129,11129,10400,10527.14,392.08,4181313.13
328,2018-01-18 08-AM,BTCUSD,10527.14,10856.64,10500.74,10781.97,177.02,1897860.04
